8,0.0905146,4225,21233,0.0920732,0.846757,2.83042,1.70735,18.9439,3.55999
9,0.116205,4225,21232,0.0779029,0.846993,2.74766,1.70655,18.9439,3.55809
10,0.0797657,4225,21232,0.0779029,0.850001,2.74766,1.70263,18.9439,3.54575
11,0.0027917,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0167907,5301,25950,0.0779029,0.82477,2.95051,1.73315,18.9439,3.69932
8,0.0974302,4375,22048,0.118988,0.842951,2.79023,1.7116,18.9439,3.58537
9,0.116444,4375,22056,0.118988,0.843044,2.86416,1.71123,18.9439,3.58323
10,0.0831897,4375,22056,0.12878,0.846674,2.86416,1.70682,18.9439,3.56403
7,0.016062,5178,25326,0.12878,0.832669,2.93481,1.72607,18.9439,3.64388
8,0.0913435,4372,22040,0.12878,0.845746,2.77591,1.70808,18.9439,3.56816
9,0.114636,4372,22042,0.138332,0.845739,2.77591,1.70782,18.9439,3.56728
10,0.082926,4372,22042,0.138879,0.847879,2.7733,1.70541,18.9439,3.55845
11,0.0028725,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0163696,5387,26418,0.138879,0.826148,2.88822,1.73129,25.5807,3.69245
8,0.100918,4517,22805,0.138879,0.841496,2.86902,1.71116,25.5807,3.60005
9,0.116391,4517,22815,0.138879,0.841432,2.86902,1.71096,25.5807,3.59746
10,0.0907349,4517,22815,0.144538,0.844012,2.86902,1.70806,25.5807,3.58235
7,0.016312,5308,26022,0.144538,0.830415,2.88822,1.72687,25.5807,3.65946
8,0.10019,4520,22831,0.144538,0.843855,2.86902,1.70839,25.5807,3.58423
9,0.122392,4520,22836,0.144538,0.843765,2.86902,1.70824,25.5807,3.58353
10,0.0900102,4520,22836,0.144185,0.845319,2.86902,1.70683,25.5807,3.57733
11,0.0033464,-1,-1,-1,-1,-1,-1,-1,-1
7,0.0202869,5832,28852,0.144185,0.814812,2.85943,1.73914,18.9439,3.77524
8,0.126079,4837,24579,0.144185,0.830879,2.75183,1.72112,18.9439,3.66369
9,0.129074,4837,24601,0.144185,0.830522,2.75183,1.72108,18.9439,3.6595
10,0.101527,4837,24601,0.123941,0.835337,2.73328,1.71667,18.9439,3.6321
7,0.0176801,5659,27943,0.123941,0.823162,2.73328,1.73415,18.9439,3.70725
8,0.111896,4829,24555,0.123941,0.835059,2.73328,1.71718,18.9439,3.63412
